base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,base5,shoulder5,elbow5,base6,shoulder6,elbow6,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,e5x,e5y,e5z,e6x,e6y,e6z
-0.11034285,0.0028714642,-1.7120095,0.1313728,0.039255187,1.5017667,0.011214388,-0.087345324,-1.4901134,-0.10820926,-0.052077897,1.4815106,0.12415419,0.007493998,-1.4410785,-0.13835405,0.06450179,1.6001143,0.2,0.0,0.0,0.25830883,0.4730072,0.18491645,-0.22834168,0.54103607,-0.21961103,-0.20704368,0.031596642,0.5530197,-0.2048518,0.005318604,-0.5261469,-0.22829717,-0.5198385,0.29179892,-0.22827405,-0.50284296,-0.28601897,-0.19389695
-0.10516791,0.004553499,-1.7201755,0.135481,0.037449103,1.4949777,0.0053348974,-0.087488614,-1.4875894,-0.119417846,-0.052511115,1.4819697,0.12686473,0.008629278,-1.4301887,-0.13526621,0.06351799,1.6067032,0.2,0.0,0.0,0.2583665,0.46988904,0.18505797,-0.22839642,0.5430982,-0.21919186,-0.20735519,0.033981264,0.5536934,-0.2048061,0.0014658398,-0.5259531,-0.22835773,-0.5229489,0.2921068,-0.22832525,-0.5000554,-0.28619274,-0.19420025
-0.100006424,0.006243246,-1.7280054,0.14112112,0.03603134,1.488597,-0.0003857802,-0.087554075,-1.484999,-0.13068515,-0.052833006,1.4824256,0.12932657,0.009917081,-1.4195235,-0.13240409,0.062337812,1.6135468,0.2,0.0,0.0,0.2584208,0.46690404,0.1852102,-0.22845621,0.5450838,-0.2183908,-0.20770837,0.036295556,0.554259,-0.20472343,-0.0020725136,-0.52574575,-0.22840914,-0.5260473,0.292387,-0.22837868,-0.49724212,-0.28624216,-0.19459261
-0.09490215,0.008002125,-1.735506,0.1484395,0.034470174,1.4820552,-0.006025034,-0.08745625,-1.4824588,-0.14160965,-0.0531295,1.4827659,0.13166946,0.011184633,-1.409289,-0.1297773,0.060885206,1.6210955,0.2,0.0,0.0,0.2584737,0.463978,0.18537116,-0.2285068,0.54716116,-0.2170404,-0.20797469,0.03851583,0.554813,-0.20462725,-0.0056680613,-0.5255356,-0.22846328,-0.52903664,0.29267925,-0.22843842,-0.49438235,-0.286167,-0.19504598
-0.08975055,0.009743408,-1.7429422,0.1572989,0.032543458,1.4752206,-0.0115342215,-0.08727016,-1.4797962,-0.15229492,-0.053495646,1.4829358,0.1340152,0.012490141,-1.398961,-0.12729207,0.059068378,1.6293724,0.2,0.0,0.0,0.25852066,0.46110597,0.1855103,-0.22855675,0.54935503,-0.21510337,-0.20829028,0.04068793,0.55529135,-0.2045765,-0.009193714,-0.52533233,-0.22851284,-0.5319174,0.2929515,-0.228477,-0.49132702,-0.28589493,-0.19557725
-0.08474632,0.011547348,-1.7502621,0.16730814,0.030165106,1.4680821,-0.016931681,-0.08689593,-1.4769207,-0.16296364,-0.053835068,1.4829051,0.13628007,0.01388725,-1.3886772,-0.12488154,0.056586556,1.6384008,0.2,0.0,0.0,0.25856102,0.45823336,0.18558314,-0.22859186,0.5516112,-0.21266186,-0.20871949,0.04280614,0.55573255,-0.20458397,-0.012699693,-0.5251651,-0.22855102,-0.5348376,0.293195,-0.2285165,-0.4880413,-0.2854624,-0.19618542
-0.079943225,0.013482944,-1.7576338,0.1780218,0.027197784,1.4606258,-0.022211479,-0.08603121,-1.4737071,-0.17359039,-0.054268144,1.482544,0.13852195,0.015329732,-1.3785982,-0.122363925,0.052490395,1.647714,0.2,0.0,0.0,0.25861353,0.45536602,0.18559709,-0.22864409,0.55388474,-0.20977238,-0.20932923,0.04485742,0.5561719,-0.20465967,-0.016225586,-0.5250375,-0.22860356,-0.53773195,0.29342076,-0.2285781,-0.48440012,-0.2848464,-0.19699413
-0.075383976,0.015676154,-1.7654548,0.18903993,0.02322332,1.4530118,-0.027388379,-0.08462635,-1.470275,-0.18429138,-0.05485694,1.4818558,0.1408997,0.01669528,-1.3683002,-0.11942239,0.04625095,1.6574249,0.2,0.0,0.0,0.2586777,0.4524369,0.18554075,-0.22872213,0.5561,-0.20653877,-0.21015476,0.0468174,0.55657876,-0.20491475,-0.01974703,-0.52493817,-0.22866654,-0.5405909,0.2935909,-0.22863066,-0.48024112,-0.28405094,-0.19824293
-0.07043723,0.018544504,-1.7724817,0.1994079,0.0169193,1.4457254,-0.032866422,-0.082475126,-1.4666282,-0.19529717,-0.05543549,1.4808087,0.14321014,0.018000832,-1.3580066,-0.116190664,0.038336657,1.6675105,0.2,0.0,0.0,0.25877988,0.44941658,0.18518864,-0.22878978,0.55807376,-0.20321663,-0.21127956,0.048877873,0.55684453,-0.20541804,-0.023343153,-0.52488804,-0.22876634,-0.5434614,0.2937882,-0.22873336,-0.4753317,-0.28302336,-0.20016122
-0.06534604,0.021665055,-1.7793542,0.20895149,0.0072008027,1.4380821,-0.038133528,-0.07967868,-1.462998,-0.20597996,-0.0564206,1.4791979,0.14547685,0.01925887,-1.3480076,-0.11237716,0.027190648,1.6766751,0.2,0.0,0.0,0.25893182,0.44647533,0.18502425,-0.22895618,0.5593226,-0.19973424,-0.21317168,0.0510528,0.55697364,-0.20613863,-0.026876668,-0.5248748,-0.2289179,-0.5462843,0.29394567,-0.22889097,-0.4696759,-0.28185546,-0.20263852
-0.06044333,0.02515597,-1.7860047,0.21760418,-0.0060174097,1.4302645,-0.043101322,-0.07561678,-1.4592197,-0.21659905,-0.05734182,1.4775966,0.14784727,0.020267813,-1.3378865,-0.10968777,0.011383975,1.6855814,0.2,0.0,0.0,0.25909665,0.4434676,0.18489054,-0.22914472,0.5595424,-0.19622998,-0.21620154,0.053101566,0.55694777,-0.20713933,-0.030343706,-0.5248401,-0.22908694,-0.5490674,0.29410374,-0.22904925,-0.46333605,-0.28051245,-0.2059321
-0.05539504,0.02958883,-1.7916954,0.22534803,-0.023146557,1.4235561,-0.04795161,-0.06817012,-1.4562185,-0.22767854,-0.057619695,1.4763058,0.15060104,0.020880215,-1.3279744,-0.1094065,-0.009195782,1.6965859,0.2,0.0,0.0,0.2592366,0.4405017,0.18468589,-0.22924927,0.5587309,-0.19273296,-0.22029938,0.055062104,0.5566116,-0.2085352,-0.033699762,-0.5247835,-0.2292176,-0.5519181,0.29423437,-0.22918782,-0.45585912,-0.27834713,-0.21056055
-0.049819943,0.03549655,-1.7968069,0.22926503,-0.036357675,1.4211382,-0.052466344,-0.05197149,-1.4551479,-0.2377159,-0.05728413,1.4752849,0.1542058,0.020894798,-1.3187989,-0.109688446,-0.036392704,1.7077736,0.2,0.0,0.0,0.25942105,0.43767262,0.18470801,-0.22942953,0.556548,-0.18886948,-0.2257106,0.05691119,0.5551243,-0.21106285,-0.036830425,-0.524729,-0.22940889,-0.554792,0.29410157,-0.22938545,-0.446456,-0.27482405,-0.2166506
-0.04308924,0.042737857,-1.8002381,0.22704697,-0.040494226,1.4262776,-0.0559381,-0.01923369,-1.4569857,-0.24647065,-0.05685895,1.4743018,0.15867324,0.020124402,-1.3108417,-0.111253306,-0.051235903,1.7134871,0.2,0.0,0.0,0.25970086,0.4349478,0.18490024,-0.22968023,0.5544232,-0.18607105,-0.22958921,0.05875021,0.55057174,-0.2166575,-0.039086737,-0.524681,-0.22968993,-0.5574241,0.29361764,-0.22966285,-0.43458512,-0.27028868,-0.22463086
-0.04008735,0.04516877,-1.8003085,0.22577679,-0.0409036,1.4303473,-0.051255498,-0.010649306,-1.4499568,-0.24856628,-0.049837224,1.4917736,0.1621744,0.02040466,-1.3180349,-0.112523936,-0.05232733,1.7080282,0.2,0.0,0.0,0.26005262,0.43340066,0.18473895,-0.23001763,0.5531569,-0.18627276,-0.23006271,0.061485365,0.5398815,-0.22803958,-0.040618375,-0.52469945,-0.23003218,-0.55878717,0.2933644,-0.23001333,-0.4272759,-0.26714596,-0.22955328
-0.03945389,0.034034252,-1.7810335,0.2199505,-0.04838065,1.4321686,-0.043980137,-0.0069470042,-1.4496216,-0.24775693,-0.02549719,1.4680159,0.16008233,-0.005534236,-1.3178508,-0.11682173,-0.045736056,1.7055994,0.2,0.0,0.0,0.26052812,0.43210793,0.18430093,-0.23049243,0.5508886,-0.18721579,-0.23052175,0.059860457,0.53939724,-0.23051319,-0.041843984,-0.52168787,-0.22853716,-0.55755603,0.291839,-0.23056962,-0.4296244,-0.26704848,-0.23057196
-0.03895579,0.01224816,-1.7580483,0.21547523,-0.056910854,1.4381481,-0.032337897,-0.0063580307,-1.4523071,-0.24225397,-0.014355014,1.4592785,0.15702394,-0.04656051,-1.3179439,-0.12074419,-0.04297498,1.6970947,0.2,0.0,0.0,0.26145142,0.43990704,0.18911591,-0.22777131,0.54787457,-0.18790166,-0.2314327,0.056400105,0.53860617,-0.23143819,-0.04472193,-0.5365618,-0.22085114,-0.56512356,0.29458717,-0.22297435,-0.4325714,-0.26803154,-0.2315771
